Song Title|Voicing|Arranger
Colors of the Wind|TTBB|Rob Campbell
Come Fly With Me|SATB|Kevin Keller
Come Go With Me|SATB|Tom Gentry
Come Rain or Come Shine|SSAA|Scott Kitzmiller
Come What May|SATB|Kevin Keller
Come What May|SATB|Theodore Hicks
Comedy Gold|TTBB|Kohl Kitzmiller
Consider Yourself|TTBB|Mark Goodney
Consider Yourself|TTBB|Tom Gentry
Corner of the Sky|SATB|Bill Adams
Corner of the Sky|TTBB|Adam Bock
Corner of the Sky|TTBB|Rob Campbell
Coventry Carol|SATB|Barbershop Harmony Society
Coventry Carol|TTBB|Barbershop Harmony Society
Cowboys and Angels|TTBB|Kohl Kitzmiller
Crazy|TTBB|Rob Hopkins
Crazy Little Thing Called Love|TTBB|Kohl Kitzmiller
Creep|TTBB|Kohl Kitzmiller
Crucified For Our Sake|SATB|Kevin Hartnett
Cry-Don’t Be a Baby Medley|TTBB|Paul Olguin
Cry, Darling Cry|TTBB|Liam Simpson
Crying My Heart Out For You|TTBB|Kevin Keller
Cumpleaños Feliz|SATB|Kohl Kitzmiller
Cut, Print … Moving On|SATB|Theodore Hicks
Daddy Sang Bass|TTBB|Dave Briner
Dance Medley|SSAA|Kohl Kitzmiller
Dance of the Sugar Plum Fairy|TTBB|Nick Luna
Dance With My Father|TTBB|Theodore Hicks
Dancing in the Moonlight|TTBB|Kohl Kitzmiller
Danny’s Song|TTBB|Kohl Kitzmiller
Dare to Dream|TTBB|Theodore Hicks
Darn That Dream|SATB|Scott Kitzmiller
Darn That Dream|TTBB|Robert Rund
Day by Day|TTBB|Rob Campbell
Day In, Day Out|TTBB|Rasmus Krigstrom
Days of Wine and Roses|TTBB|Kohl Kitzmiller
Dear Hearts and Gentle People|TTBB|Bill Mitchell
Death of a Bachelor|TTBB|Ben Neldner
Death of a Bachelor|TTBB|David Harrington
Deck the Halls|TTBB|Theodore Hicks
Desperado|TTBB|Tom Gentry
Devil May Care|TTBB|Rasmus Krigstrom
Die a Happy Man|TTBB|Theodore Hicks
Diggilo Diggiley|TTBB|Rasmus Krigstrom
Don’t Know Why|SATB|Kohl Kitzmiller
Don’t Know Why|SATB|Liz Garnett
Don’t Know Why|SSAA|Kohl Kitzmiller
Don’t Know Why|TTBB|Kohl Kitzmiller
Don’t Rain On My Parade|SATB|Kohl Kitzmiller
Don’t Speak|SSAA|Kohl Kitzmiller
Don’t Stop Me Now|SATB|Will Lynch
Down By the Riverside|SATB|Tom Gentry
Down For Double|TTBB|Patrick McAlexander
Down With Love|SSAA|Kevin Keller
Dream a Little Dream of Me|SATB|Kohl Kitzmiller
Dream a Little Dream of Me|SSAA|Kohl Kitzmiller
Dream a Little Dream of Me|TTBB|Kohl Kitzmiller
Dream Lover|SATB|Kohl Kitzmiller
Dream Lover|SSAA|Kohl Kitzmiller
Dream Lover|TTBB|Kohl Kitzmiller
Dreamland Medley|TTBB|Ron James
Dreams|SATB|Pentatonix
Dreams of You|TTBB|Soren Wohlers
Dreidel, Dreidel, Dreidel|SATB|Kohl Kitzmiller
Edelweiss|SATB|Rob Campbell
Edelweiss|TTBB|Rob Campbell
Enjoy the Silence|SATB|Eric Whitacre
Ev’ry Day of My Life|TTBB|Mark Goodney
Evermore|TTBB|Kohl Kitzmiller
Everybody Loves Somebody|SATB|Kohl Kitzmiller
Everybody Loves Somebody|SSAA|Kohl Kitzmiller
Everybody Loves Somebody|TTBB|Kohl Kitzmiller
Everybody Loves Somebody|TTBB|Larry Triplett
Everybody Needs a Best Friend|TTBB|Jeremey Johnson
Everybody Wants to be a Cat|SATB|Jason Dyer
Everybody Wants to Go to Heaven|TTBB|Lou Perry
Everybody’s Walkin’ Down in New Orleans|TTBB|Robert Rund
Everything Old is New Again (Parody)|SSAA|Ann Minihane
Exactly Like You|SSAA|Scott Kitzmiller
Faith|SATB|Kohl Kitzmiller
Faith|SSAA|Kohl Kitzmiller
Faith|TTBB|Kohl Kitzmiller
Fallen Angel|TTBB|Theodore Hicks
Family Guy Theme Song|TTBB|Brent Graham
Favourite Pair of Pants|TTBB|Dominick Finetti, Will Lynch
Feel it Still|TTBB|Kohl Kitzmiller
Feelin’ Good|TTBB|John Brockman
Fight Fiercely, Harvard!|TTBB|Kohl Kitzmiller
Fight Song|TTBB|Wayne Grimmer
Fit as a Fiddle|TTBB|Clay Hine
Fly Me to the Moon|SATB|Kohl Kitzmiller
Fly Me to the Moon|SSAA|Kohl Kitzmiller
Fly Me to the Moon|TTBB|Kohl Kitzmiller
Fly Me to the Moon|TTBB|Scott Kitzmiller
Follow Me|SATB|Kohl Kitzmiller
Follow Me|SSAA|Kohl Kitzmiller
Follow Me|TTBB|Kohl Kitzmiller
Follow Me – Bari|TTBB|Kohl Kitzmiller (Alternate)
Follow Me – Bass|TTBB|Kohl Kitzmiller (Alternate)
Follow Me – Full Mix|TTBB|Kohl Kitzmiller (Alternate)
Follow Me – Lead|TTBB|Kohl Kitzmiller (Alternate)
Follow Me – Learning Track|TTBB|Kohl Kitzmiller (Alternate)
Follow Me – Tenor|TTBB|Kohl Kitzmiller (Alternate)
Fools Fall in Love|TTBB|Kohl Kitzmiller
Footloose|SSAA|Kohl Kitzmiller
For Good|TTBB|Rob Campbell
For Once in My Life|TTBB|Steve Tramack
For Sentimental Reasons|TTBB|Clay Hine
For the Last Time|TTBB|Dave Ebersole
For You|TTBB|Kohl Kitzmiller
Fortune in Dreams|TTBB|Clay Hine
Fortuosity|TTBB|Kohl Kitzmiller
Fraternity|TTBB|Anton Bruckner
Freedom! ’90|SSAA|Kohl Kitzmiller
Freedom! ’90|TTBB|Kohl Kitzmiller
From This Moment On|TTBB|Kohl Kitzmiller
Frosty the Snowman|SATB|Rob Campbell
Frosty the Snowman|TTBB|Rob Campbell
Fun and Fancy Free|TTBB|Dan Wessler
Garden Statesmen Theme Song|TTBB|John Yates
Gee I’m Glad I Worried About That|TTBB|Kohl Kitzmiller
Georgia On My Mind|TTBB|Carl Walters
Georgia On My Mind|TTBB|Scott Kitzmiller
Get Happy|SATB|Kohl Kitzmiller
Get Happy|SSAA|Kohl Kitzmiller
Get Happy|TTBB|Kohl Kitzmiller
Get Me to the Church on Time|TTBB|Jay Giallombardo
Get Me to the Church on Time (Parody)|TTBB|Kohl Kitzmiller
Give it Away|TTBB|Kohl Kitzmiller
Give Me the Simple Life – Learning Track|SATB|Aaron Dale
Give Me the Simple Life – Mix|SATB|Aaron Dale
Glory of Love|SATB|Dennis Driscoll
Go Rest High On That Mountain|SSAA|Kohl Kitzmiller
Go Straight Away|SSAA|Amanda Sandroni
Go the Distance|TTBB|Mike Menefee
God Rest Ye Merry Gentlemen|SATB|Barbershop Harmony Society
God Rest Ye Merry Gentlemen|TTBB|Kohl Kitzmiller
Gone Too Soon|TTBB|Theodore Hicks
Gonna Make You Happy Tonight|TTBB|Kohl Kitzmiller
Good Enough|SATB|Jay Dougherty
Good Goes Around|SSAA|Kohl Kitzmiller
Good Luck Charm|TTBB|Aaron Dale
Good Morning|TTBB|Mark Goodney
Good Night (German)|SSAA|Kohl Kitzmiller
Good Time Tavern|SATB|Kohl Kitzmiller
Good Time Tavern|SSAA|Kohl Kitzmiller
Good Time Tavern|TTBB|Kohl Kitzmiller
Good To Be Alive|SSAA|Kohl Kitzmiller
Good To Be Alive (Hallelujah)|SSAA|Kohl Kitzmiller
Good To Be Alive (Hallelujah)-Uptown Funk Mashup|SSAA|Kohl Kitzmiller
Goodbye Yellow Brick Road|SATB|Rasmus Krigstrom
Gospel Medley|TTBB|Jay Giallombardo
Gospel Medley|TTBB|John Eby
Got to Get You Into My Life|TTBB|Melody Hine
Grace Kelly|TTBB|Kohl Kitzmiller
Gravity|SATB|Kohl Kitzmiller
Grow Old With You|TTBB|Aaron Dale
Guilty|TTBB|Scott Kitzmiller
Hallelujah, I Love Her So|TTBB|Kohl Kitzmiller
Hand in Hand|TTBB|Matt Astle
Hang on Sloopy|TTBB|Tom Gentry
Happy Birthday|SATB|Kohl Kitzmiller
Happy Birthday|TTBB|Joe Liles
Happy Time|SSAA|Kohl Kitzmiller
Happy Together|SATB|Liz Garnett
Hark! The Herald Angels Sing|SATB|Barbershop Harmony Society
Have Yourself a Merry Little Christmas|TTBB|Kohl Kitzmiller
Haven’t Met You Yet|TTBB|Steve Tramack
Haven’t We Met?|SATB|David Harrington
Headless Horseman|SATB|Kohl Kitzmiller
Heaven Help Us All|TTBB|Dave Ebersole
Here Comes the Sun|TTBB|Kohl Kitzmiller
Hero|TTBB|Kyle Kitzmiller
Hi, Neighbor|SATB|Walter Latzko
Home|TTBB|Matt Gallagher
Home on the Range|TTBB|Dave Briner
Honesty|TTBB|Kohl Kitzmiller
How Could I Ever Know?|TTBB|Theodore Hicks
How Deep is the Ocean?|SATB|Rob Hopkins
How Do You Keep the Music Playing?|TTBB|Nick Luna
How Far I’ll Go|TTBB|Matt Gallagher
How High the Moon|SSAA|Melody Hine
How Lucky You Are|TTBB|Patrick McAlexander
I (Who Have Nothing)|SSAA|Kohl Kitzmiller
I (Who Have Nothing)|TTBB|Kohl Kitzmiller
I Aint Worried Bout It|SATB|Adam Scott
I Aint Worried Bout It|TTBB|Adam Scott
I Aint Worried Bout It All|SATB|Adam Scott
I Aint Worried Bout It All|TTBB|Adam Scott
I Am a Man of Constant Sorrow|TTBB|Aaron Dale
I am Very Glad, as I’m Finally Returning Back Home (Trololo)|TTBB|Kyle Kitzmiller
I Am What I Am-My Way Medley|TTBB|Steve Tramack
I Can’t Believe That You’re in Love With Me|TTBB|Kohl Kitzmiller
I Can’t Give You Anything But Love|TTBB|Harry Swenson
I Can’t Make You Love Me|TTBB|Jim Rohn
I Carry Your Heart With Me|SATB|Theodore Hicks
I Cross My Heart|TTBB|Adam Scott
I Don’t Care if the Sun Don’t Shine|TTBB|Steve Tramack
I Don’t Dance|SSAA|Kohl Kitzmiller
I Don’t Know Enough About You|TTBB|Dave Briner
I Don’t Know How to Say Goodbye|TTBB|Theodore Hicks
I Don’t Wanna Miss a Thing|SATB|Grant Goldstein
I Don’t Want to Miss a Thing|TTBB|Dan Wessler
I Feel Good|TTBB|Kohl Kitzmiller
I Get Along Without You Very Well|TTBB|Henrik Rosenberg
I Get Along Without You Very Well – Learning Track|TTBB|David Zimmerman
I Get Along Without You Very Well – Mix|TTBB|David Zimmerman
I Got Plenty of Nothin’|SSAA|Kohl Kitzmiller
I Got Rhythm|TTBB|Nick Bryant
I Had the Craziest Dream|TTBB|Ron James
I Have Nothing|TTBB|Theodore Hicks
I Heard the Bells on Christmas Day|SATB|Barbershop Harmony Society
I Heard the Bells on Christmas Day|TTBB|Theodore Hicks
I Hope You Dance|TTBB|Robert Rund
I Just Called to Say I Love You|TTBB|Aaron Dale
I Just Need|TTBB|Kohl Kitzmiller
I Know Where I’ve Been|TTBB|Kyle Kitzmiller
I Left My Heart in San Francisco|TTBB|Scott Kitzmiller
I Love You For Sentimental Reasons|SATB|Adam Scott
I Love You For Sentimental Reasons|SSAA|Adam Scott
I Love You For Sentimental Reasons|TTBB|Adam Scott
I Love You Truly|SATB|Kohl Kitzmiller
I Love You Truly|SSAA|Kohl Kitzmiller
I Love You Truly|TTBB|Kohl Kitzmiller
I Never Like it When You Leave|TTBB|Dan Wessler
I Put a Spell on You|SSAA|Kohl Kitzmiller
I Put a Spell on You|TTBB|Kohl Kitzmiller
I Remember You|SATB|Scott Kitzmiller
I See the Light|SATB|Rasmus Krigstrom
I See the Light|SATB|Theodore Hicks
I See the Light|TTBB|Theodore Hicks
I Should Care|TTBB|Ron James
I Stand All Amazed|TTBB|Steve Tramack
I Still Get a Thrill (Thinking of You)|TTBB|Ron James
I Swear|TTBB|Ben Neldner
I Wanna Be Around|TTBB|Scott Kitzmiller
I Wanna Be Loved|SATB|Mark Jennings
I Wanna Dance With Somebody|SATB|Kohl Kitzmiller
I Wanna Dance With Somebody|SSAA|Kohl Kitzmiller
I Will|SSAA|Melody Hine
I Wish You Love|SSAA|Scott Kitzmiller
I Won’t Last a Day Without You|TTBB|Mo Field, Joey Minshall
I Won’t Send Roses|TTBB|Theodore Hicks
I Wonder Who’s Kissing Her Now|TTBB|Ron James
I’ll Be Around|TTBB|Mark Goodney
I’ll Be Home For Christmas|TTBB|Rasmus Krigstrom
I’ll Be Home For Christmas|TTBB|Theodore Hicks
I’ll Be Satisfied|TTBB|Brian Mastrull
I’ll Be Seeing You|SATB|Kohl Kitzmiller
I’ll Pray For You|TTBB|Steve Tramack
I’ll Take You Home Again, Kathleen-Galway Bay Medley|TTBB|John Eby
I’m Already There|TTBB|Adam Scott
I’m Confessin’|TTBB|Ron James
I’m Feelin’ Fine|SATB|Joe Liles
I’m Feelin’ Fine|TTBB|Joe Liles
I’m Into Something Good|TTBB|John Fortino
I’m Looking Over a Four Leaf Clover|TTBB|Ed Waesche
I’m Not Gonna Worry|TTBB|Kevin Keller
I’m Old Fashioned|TTBB|Don Gray
I’m Sitting on Top of the World|SATB|Boston Consort
I’m Still Standing|SATB|Melody Hine
I’m Still Standing|TTBB|Melody Hine
I’m Thru With Love|TTBB|Kevin Keller
I’ve Been Working on the Railroad – Learning Track|SATB|Roger Payne
I’ve Been Working on the Railroad – Mix|SATB|Roger Payne
I’ve Got a Dream|TTBB|Mike Menefee
I’ve Got My Love to Keep Me Warm|SATB|Kohl Kitzmiller
I’ve Got My Love to Keep Me Warm|SSAA|Kohl Kitzmiller
I’ve Got My Love to Keep Me Warm|TTBB|Kohl Kitzmiller
I’ve Got the World on a String|TTBB|Kohl Kitzmiller
I’ve Gotta Be Me|TTBB|Theodore Hicks
If I Can Dream|TTBB|Tom Gentry
If I Didn’t Have You|SATB|Cay Outerbridge
If I Didn’t Have You|TTBB|Cay Outerbridge
If I Had My Way|TTBB|David Harrington
If I Had You|TTBB|Ron Cappuccio
If I Loved You|SSAA|Kohl Kitzmiller
If I May|TTBB|Patrick McAlexander
If the Devil Danced (In Empty Pockets)|TTBB|Michael Webber
If You Love Me (Really Love Me)|TTBB|Nancy Bergman
If You’ve Only Got a Moustache|TTBB|Scott Kitzmiller
In Summer|TTBB|Wayne Grimmer
In the Cool, Cool, Cool of the Evening|TTBB|Gene Cokeroft
In the Cool, Cool, Cool of the Evening|TTBB|Kohl Kitzmiller
In the Mood|TTBB|Mark Goodney
In the Still of the Nite|SATB|Tom Gentry
In the Still of the Nite|TTBB|Tom Gentry
In the Wee Small Hours of the Morning|TTBB|Carl Walters
In the Wee Small Hours of the Morning|TTBB|Kohl Kitzmiller
Indiana|TTBB|Ed Waesche
Insecurities|TTBB|Patrick McAlexander
Irgendwo Auf Der Welt|TTBB|Kohl Kitzmiller
Irish Blessing|TTBB|Don Gray
Is You Is or Is You Ain’t My Baby? – Learning Track|TTBB|Melody Hine
Is You Is or Is You Ain’t My Baby? – Mix|TTBB|Melody Hine
It Came Upon the Midnight Clear|SATB|Barbershop Harmony Society
It Came Upon the Midnight Clear|SATB|Kohl Kitzmiller
It Came Upon the Midnight Clear|SSAA|Kohl Kitzmiller
It Came Upon the Midnight Clear|TTBB|Kohl Kitzmiller
It Could Happen to You|TTBB|Scott Kitzmiller
It Had Better Be Tonight (Meglio Stasera)|SATB|Kohl Kitzmiller
It Is Well With My Soul|TTBB|David Zimmerman
It Sucks to Be Me|TTBB|Kohl Kitzmiller
It Takes a Village|SATB|Joan Szymko
It Takes Two|TTBB|Dominick Finetti
It Was Almost Like a Song|TTBB|Brent Graham
It’s a Brand New Day|SATB|Bob Disney
It’s a Good Day|SATB|Lloyd Steinkamp
It’s a Good Day|TTBB|Lloyd Steinkamp, Dave Briner
It’s a Lovely Day Today|TTBB|Kohl Kitzmiller
It’s a Most Unusual Day|SATB|Kohl Kitzmiller
It’s a Most Unusual Day|SSAA|Kohl Kitzmiller
It’s a Most Unusual Day|TTBB|Kohl Kitzmiller
It’s a Pity to Say Goodnight|SATB|Kohl Kitzmiller
It’s a Pity to Say Goodnight|SSAA|Kohl Kitzmiller
It’s a Pity to Say Goodnight|TTBB|Kohl Kitzmiller
It’s All Right|SATB|Kohl Kitzmiller
It’s All Right|SSAA|Kohl Kitzmiller
It’s All Right|TTBB|Kohl Kitzmiller
It’s Always You|TTBB|Ron James
It’s De-Lovely|TTBB|Kohl Kitzmiller
It’s No Secret Anymore|TTBB|Adam Scott
It’s Not For Me to Say|TTBB|Mark Goodney
It’s Not Unusual|SATB|Kohl Kitzmiller
It’s Not Unusual|SSAA|Kohl Kitzmiller
It’s Not Unusual|TTBB|Kohl Kitzmiller
It’s Now or Never|TTBB|Kohl Kitzmiller
It’s Only Make Believe-Earth Angel Medley|TTBB|Ron Cappuccio
It’s Party Time|SATB|Jackson Pinder
It’s Party Time|SATB|Rasmus Krigström
It’s Sand, Man!|TTBB|Larry Wright
It’s the Most Wonderful Time of the Year|SATB|Mike Menefee
It’s You I Like|SATB|Cay Outerbridge
Jackson (Gaston)|TTBB|Anthony Bartholomew
Java Jive|SATB|Bluegrass Student Union
Jet Set|SATB|Theodore Hicks
Jingle Bells|SATB|Barbershop Harmony Society
Joe Re Mi (Do Re Mi)|TTBB|Kohl Kitzmiller
John Denver Medley|TTBB|Mark Hale
Johnny B. Goode|TTBB|Dave Ebersole
Joshua Fit the Battle of Jericho|SATB|Moses Hogan
Joy|SSAA|Kohl Kitzmiller
Jump Up Super Star!|TTBB|Adam Scott
Jumpin’ East of Java|SSAA|Kohl Kitzmiller
Just the Way You Are|TTBB|Kohl Kitzmiller
Keep the Whole World Singing|SATB|Willis Diekema
Keep the Whole World Singing|SSAA|Willis Diekema
Keep the Whole World Singing|TTBB|Willis Diekema
King of the Road|TTBB|Scott Kitzmiller
Kiss the Girl|TTBB|Theodore Hicks
La Paloma|TTBB|Adam Scott
Last Night Was the End of the World|TTBB|Brent Graham
Laura|TTBB|Robert Rund
Lava|SATB|Kohl Kitzmiller
Lazy River|TTBB|Kohl Kitzmiller
Leader of the Band|SSAA|Kohl Kitzmiller
Let it Snow|TTBB|Dave Briner
Let Me Call You Sweetheart|SATB|Barbershop Harmony Society
Let Me Call You Sweetheart Intro|SATB|Steve Delehanty
Let Me Call You Sweetheart Intro|TTBB|Steve Delehanty
Let There Be Peace on Earth|TTBB|Tom Gentry
Let’s All Go to the Lobby|TTBB|Patrick McAlexander
Let’s Be Bad|SATB|Melody Hine
Let’s Be Bad|TTBB|Melody Hine
Let’s Face the Music and Dance|TTBB|Kohl Kitzmiller
Let’s Get Away From It All|TTBB|Mark Goodney
Let’s Misbehave|SSAA|Kohl Kitzmiller
Let’s Start Tomorrow Tonight|TTBB|Theodore Hicks
Let’s Stay Together|TTBB|Adam Bock
Lets Fall In Love|TTBB|Scott Kitzmiller Gary Davis
Lets Fall In Love All|TTBB|Scott Kitzmiller Gary Davis
Life Can Be Beautiful|TTBB|Kyle Kitzmiller
Life is Just a Bowl of Cherries|SATB|Gene Cokeroft
Lift Every Voice and Sing|SATB|Jon Nicholas
