Product Code/SKU,Product Name,Product Description,Arranger,Difficulty,Ensemble
209925,Barberpole Cat Songbook Vol. I - Download,This is The Original Barberpole Cat Program And Songbook with a new cover and newly re-engraved music pages | Download Version (use #209064 for Print version) | AVAILABLE FOR ALL CUSTOMERS *Please note that this digital sheet music is not eligible for discounts* ,Various,,
209064,Barberpole Cat Songbook Vol. I - Print,This is The Original Barberpole Cat Program And Songbook with a new cover and newly re-engraved music pages | Print Version (use #209925 for Download version) | AVAILABLE FOR ALL CUSTOMERS ,,,
212677,Barberpole Cat Songbook Vol. II - Print,"TTBB | Licensed for USA and Canada only | Special Note: CANNOT BE SCANNED OR PHOTOCOPIED - Printed and Shipped to Customer Address - Each singer in your group using this product must have a purchased copy.  Digital version {eBook version} is available for PC and mobile devices, ",,,
7620,Barbershop All Year Round (Medley) (TTBB) ,"TTBB, from the Harmony College Show Songs For All Seasons | Seasonal medley arrangement containing the following songs:  Spring;  In The Good Old Summer Time; When the Harvest Moon Is Shining; and Jingle Bells | Arranged by Edwin Smith, Phil Embry, Charles Merrill, and Dave Stevens<br />","Smith, Embury, Merrill, & Stevens",4,
203023,"BARBERSHOP FUN Sing in the Barbershop Quartet, Volume 1","These great collections let men sing four-part a cappella harmony with a professionally recorded barbershop quartet. The books include TTBB parts and the CDs feature full performances. Just turn on the CD, open the book, pick your part, and sing along!<br /><br />Volume 1 songs include: Do You Hear the People Sing? &bull; Feliz Navidad &bull; Give Me a Barbershop Song &bull; Good Night Ladies &bull; Harmony Leads the Way &bull; Honey/Little 'Lize Medley &bull; Sound Celebration &bull; You'll Never Walk Alone.",,,
202671,Barbershop Harmony Time (SSAA) (arr. Stevens),"SSAA, arranged by Dave Stevens | Licensed for all territories",Dave Stevens,1,
202670,Barbershop Harmony Time (TTBB) (arr. Stevens),"TTBB, arranged by Dave Stevens | Licensed for all territories",Dave Stevens,1,
6054,Barbershop Potpourri Songbook,"Barbershop Potpourri Songbook - A Collection of songs for all occasions, arranged in the Barbershop Style for male Quartets and Choruses. Contains:  Abide with Me Barbershop Show Closer Because For He's a jolly good fellow Gee, we had a Wonderful Time GOD Bless You , Good Night Have a Happy Day Hey, Little Baby O' Mine Hi! and Thanks for having us Here It's Barbershop showtime Let's get together Again Let's sing a little Barbershop Look Out, World! LORD, We thank Thee My Wild Irish Rose Oh Promise Me Old Hundredth, The Doxology One more Song Pledge of Allegiance {The} SPEBSQSA Sing A Long Invitation Son of the Sea Start Off each day with a Great Big Smile Tee-Idle Dum Dum Welcome!  Welcome Song Where are the songs of Yesterday  ",,,
7661,Barbershop Time of Your Life (TTBB) (arr. Liles),Arranged by: Joe Liles,Joe Liles,1,
213563,Bare Necessities (SATB) (arr. Gentry),"SATB, for mixed vocies | Arranged by Tom Gentry | from Walt Disney's The Jungle Book | Available in US and Canada ",Tom Gentry,2,SATB
211686,Bare Necessities (SSAA) (arr. Gentry),"SSAA, for female voices | Arranged by Tom Gentry (formerly #114456) | from Walt Disney's The Jungle Book | Available in US and Canada",Thomas Gentry,2,
211591,Bare Necessities (TTBB) (arr. Gentry),TTBB | Arranged by Tom Gentry (formerly #114455) | from Walt Disney's The Jungle Book | Available in US and Canada,Thomas Gentry,2,
7197,Barefoot Days (TTBB) (arr. Moon),Arranged by: Earl Moon; TTBB,Earl Moon,2,
212482,Basin Street Blues (SSAA) (arr. Briner),"SSAA | Arranged by Dave Briner (formerly #207129) | for female voices | Available in US, Canada, UK, Europe",Dave Briner,2/3,SSAA
212161,Basin Street Blues (TTBB) (arr. Briner),"<img src=""https://cdn11.bigcommerce.com/s-46ujm840s8/javascript/tinymce/themes/advanced/img/trans.gif"" alt="""" /><img src=""https://cdn11.bigcommerce.com/s-46ujm840s8/javascript/tinymce/themes/advanced/img/trans.gif"" alt="""" />TTBB | Arranged by Dave Briner (formerly #7353) | for male voices | Available in US, Canada, UK, Europe ",Dave Briner,2/3,TTBB
8509,Battle Hymn Of The Republic (TTBB),"TTBB, arranged by the Barbershop Harmony Society | With deep appreciation to the BHS publications volunteer team for converting this arrangement from the original octavo format!",Barbershop Harmony Society,2,
7687,Battle Hymn Of The Republic (TTBB) (arr. Liles),"TTBB, arranged by Joe Liles | Available to all customers ",Joe Liles,4,
212087,"Be Careful, It's My Heart (SSAA) (arr. Reimnitz)","SSAA, for female voices | Arranged by Adam Reimnitz (formerly #209391) | from Holiday Inn | Available in US and Canada",Adam Reimnitz,1,
208580,"Be Our Guest (from Walt Disney's ""Beauty and the Beast"" (TTBB) (arr. Delehanty)",TTBB | Arranged by Steve Delehanty  ,Stephen Delehanty,3,
213406,"Be Our Guest (from Walt Disney's ""Beauty and the Beast"") (SATB) (arr. Delehanty)","SATB, for mixed voices | Arrangement by Steve Delehanty ",Steve Delehanty,3,SATB
209886,"Be Our Guest (from Walt Disney's ""Beauty and the Beast"") (SSAA) (arr. Delehanty) ","SSAA, arranged by Steve Delehanty   ",Stephen Delehanty,3,
212483,Beach Boys Medley (SSAA) (arr. Gentry),SSAA | Arranged by Tom Gentry (formerly #202126) | ,Tom Gentry,3,SSAA
212213,Beach Boys Medley (TTBB) (arr. Colville),,Tom Colville,3,
202797,Beach Boys Medley (TTBB) (arr. Delehanty),,Stephen Delehanty,2,
212138,Beach Boys Medley (TTBB) (arr. Gentry),TTBB | Arranged by Tom Gentry (formerly #110206) | ,Tom Gentry,3,TTBB
214124,Beatles Sunshine Medley (SATB) (arr. Hale),"SATB, for mixed voices | Arranged by Mark Hale | Available worldwide (excluding Japan) Beatles Sunshine Medley includes Here Comes the Sun and Good Day Sunshine",Mark Hale,4,SATB
212286,Beatles Sunshine Medley (SSAA) (arr. Hale),Beatles Sunshine Medley ,Mark Hale,4,
211593,Beatles Sunshine Medley (TTBB) (arr. Hale),Beatles Sunshine Medley ,Mark Hale,4,
211650,Beauty and the Beast (SSAA) (arr. Herdes),"SSAA, for female voices | Arranged by Nina Herdes (formerly #110213) | from Walt Disney's Beauty and the Beast |  Available Worldwide",Nina Herdes,1,
212157,Beauty And The Beast (TTBB) (arr. Kingsbury),TTBB | Arranged by Fred and Carol Kingsbury (formerly #2030500) | from Beauty and the Beast | Available Worldwide,Fred and Carol Kingsbury,2,TTBB
